year,Age group,Type,count,total,proportion
2022,00-04,A,25105,29229,0.8589072496493209
2022,00-04,A and B,27,29229,0.0009237401211125936
2022,00-04,B,142,29229,0.004858188785110678
2022,00-04,Untyped,3955,29229,0.13531082144445586
2022,05-09,A,30296,36465,0.8308240778829014
2022,05-09,A and B,68,36465,0.0018648018648018648
2022,05-09,B,166,36465,0.004552310434663376
2022,05-09,Untyped,5935,36465,0.16275880981763335
2022,10-14,A,20261,24329,0.8327921410662172
2022,10-14,A and B,68,24329,0.0027950182909285215
2022,10-14,B,142,24329,0.0058366558428213245
2022,10-14,Untyped,3858,24329,0.15857618480003288
2022,15-19,A,18881,21474,0.8792493247648319
2022,15-19,A and B,19,21474,0.000884790909937599
2022,15-19,B,83,21474,0.0038651392381484585
2022,15-19,Untyped,2491,21474,0.11600074508708205
2022,20-24,A,13802,15779,0.8747068889029723
2022,20-24,A and B,9,15779,0.000570378350972812
2022,20-24,B,57,15779,0.003612396222827809
2022,20-24,Untyped,1911,15779,0.12111033652322707
2022,25-29,A,12026,14081,0.854058660606491
2022,25-29,A and B,9,14081,0.0006391591506285065
2022,25-29,B,140,14081,0.009942475676443435
2022,25-29,Untyped,1906,14081,0.13535970456643703
2022,30-34,A,13020,15739,0.8272444246775525
2022,30-34,A and B,8,15739,0.0005082915051782197
2022,30-34,B,131,15739,0.008323273397293348
2022,30-34,Untyped,2580,15739,0.16392401041997587
2022,35-39,A,13420,16600,0.808433734939759
2022,35-39,A and B,16,16600,0.0009638554216867469
2022,35-39,B,101,16600,0.00608433734939759
2022,35-39,Untyped,3063,16600,0.18451807228915662
2022,40-44,A,10465,12961,0.8074222668004012
2022,40-44,A and B,6,12961,0.00046292724326826634
2022,40-44,B,82,12961,0.006326672324666306
2022,40-44,Untyped,2408,12961,0.18578813363166422
2022,45-49,A,7639,9244,0.8263738641280831
2022,45-49,A and B,6,9244,0.0006490696668109044
2022,45-49,B,67,9244,0.007247944612721766
2022,45-49,Untyped,1532,9244,0.16572912159238426
2022,50-54,A,6603,7816,0.8448055271238485
2022,50-54,A and B,4,7816,0.0005117707267144319
2022,50-54,B,38,7816,0.004861821903787103
2022,50-54,Untyped,1171,7816,0.14982088024564996
2022,55-59,A,5571,6576,0.8471715328467153
2022,55-59,A and B,4,6576,0.0006082725060827251
2022,55-59,B,38,6576,0.005778588807785888
2022,55-59,Untyped,963,6576,0.14644160583941607
2022,60-64,A,5363,6231,0.8606965174129353
2022,60-64,A and B,1,6231,0.00016048788316482104
2022,60-64,B,22,6231,0.0035307334296260633
2022,60-64,Untyped,845,6231,0.13561226127427378
2022,65-69,A,4021,4591,0.8758440426922239
2022,65-69,A and B,2,4591,0.00043563493792202136
2022,65-69,B,18,4591,0.003920714441298192
2022,65-69,Untyped,550,4591,0.11979960792855587
2022,70-74,A,3637,3990,0.9115288220551379
2022,70-74,B,30,3990,0.007518796992481203
2022,70-74,Untyped,323,3990,0.08095238095238096
2022,75-79,A,2961,3161,0.9367288832647896
2022,75-79,B,13,3161,0.004112622587788674
2022,75-79,Untyped,187,3161,0.0591584941474217
2022,80-84,A,2234,2340,0.9547008547008548
2022,80-84,A and B,2,2340,0.0008547008547008547
2022,80-84,B,9,2340,0.0038461538461538464
2022,80-84,Untyped,95,2340,0.0405982905982906
2022,85+,A,2683,2750,0.9756363636363636
2022,85+,A and B,1,2750,0.0003636363636363636
2022,85+,B,16,2750,0.005818181818181818
2022,85+,Untyped,50,2750,0.01818181818181818
2023,00-04,A,23796,34454,0.6906600104487143
2023,00-04,A and B,177,34454,0.005137284495269055
2023,00-04,B,10348,34454,0.30034248563301796
2023,00-04,Untyped,133,34454,0.0038602194229987808
2023,05-09,A,29219,52077,0.56107302648002
2023,05-09,A and B,406,52077,0.00779614801159821
2023,05-09,B,22114,52077,0.4246404362770513
2023,05-09,Untyped,338,52077,0.0064903892313305294
2023,10-14,A,14014,33280,0.42109375
2023,10-14,A and B,249,33280,0.007481971153846154
2023,10-14,B,18807,33280,0.5651141826923077
2023,10-14,Untyped,210,33280,0.006310096153846154
2023,15-19,A,9894,21323,0.4640060029076584
2023,15-19,A and B,116,21323,0.005440135065422314
2023,15-19,B,11192,21323,0.5248792383810909
2023,15-19,Untyped,121,21323,0.005674623645828448
2023,20-24,A,6997,12198,0.5736186260042629
2023,20-24,A and B,41,12198,0.0033612067552057714
2023,20-24,B,5097,12198,0.4178553861288736
2023,20-24,Untyped,63,12198,0.005164781111657649
2023,25-29,A,7502,13268,0.5654205607476636
2023,25-29,A and B,34,13268,0.0025625565269822128
2023,25-29,B,5631,13268,0.42440458245402474
2023,25-29,Untyped,101,13268,0.007612300271329514
2023,30-34,A,10273,17821,0.576454744402671
2023,30-34,A and B,68,17821,0.00381572302339936
2023,30-34,B,7329,17821,0.4112563829190281
2023,30-34,Untyped,151,17821,0.008473149654901521
2023,35-39,A,12127,20428,0.5936459761112199
2023,35-39,A and B,71,20428,0.003475621695711768
2023,35-39,B,8075,20428,0.3952907773644018
2023,35-39,Untyped,155,20428,0.007587624828666536
2023,40-44,A,11749,18523,0.634292501214706
2023,40-44,A and B,79,18523,0.004264967877773578
2023,40-44,B,6534,18523,0.3527506343464881
2023,40-44,Untyped,161,18523,0.00869189656103223
2023,45-49,A,9237,12828,0.7200654817586529
2023,45-49,A and B,51,12828,0.003975678203928906
2023,45-49,B,3416,12828,0.26629248518864984
2023,45-49,Untyped,124,12828,0.00966635484876832
2023,50-54,A,9003,10923,0.8242241142543257
2023,50-54,A and B,18,10923,0.0016478989288656962
2023,50-54,B,1822,10923,0.16680399157740547
2023,50-54,Untyped,80,10923,0.007323995239403094
2023,55-59,A,7671,8630,0.8888760139049826
2023,55-59,A and B,17,8630,0.0019698725376593278
2023,55-59,B,878,8630,0.10173812282734647
2023,55-59,Untyped,64,8630,0.0074159907300115875
2023,60-64,A,7179,7885,0.9104629042485732
2023,60-64,A and B,8,7885,0.001014584654407102
2023,60-64,B,653,7885,0.08281547241597971
2023,60-64,Untyped,45,7885,0.0057070386810399495
2023,65-69,A,6145,6773,0.9072789015207441
2023,65-69,A and B,8,6773,0.0011811604901816035
2023,65-69,B,586,6773,0.08652000590580244
2023,65-69,Untyped,34,6773,0.005019932083271814
2023,70-74,A,5222,5768,0.9053398058252428
2023,70-74,A and B,9,5768,0.0015603328710124826
2023,70-74,B,509,5768,0.08824549237170597
2023,70-74,Untyped,28,5768,0.0048543689320388345
2023,75-79,A,4729,5045,0.9373637264618434
2023,75-79,A and B,5,5045,0.0009910802775024777
2023,75-79,B,289,5045,0.05728444003964321
2023,75-79,Untyped,22,5045,0.004360753221010902
2023,80-84,A,3402,3567,0.9537426408746846
2023,80-84,A and B,5,3567,0.0014017381553125877
2023,80-84,B,152,3567,0.042612839921502665
2023,80-84,Untyped,8,3567,0.00224278104850014
2023,85+,A,3759,4028,0.9332174776564052
